Date,Day,Month,Year,Average,Volume
15-Jul-10,15,7,10,18.1,43874784
2-Mar-12,2,3,12,27.7,2560798
14-Feb-11,14,2,11,26.86,2134692
21-Apr-10,21,4,10,22.32,31331788
21-Jun-10,21,6,10,19.15,45235210
21-Jul-10,21,7,10,17.62,51233520
24-May-10,24,5,10,17.81,59948224
24-Jul-13,24,7,13,87.67,354726
24-Oct-13,24,10,13,108.7,450026
17-Oct-12,17,10,12,31.4,1470634
17-Oct-13,17,10,13,109.34,1372650
19-Sep-14,19,9,14,127.48,1418401
17-Sep-14,17,9,14,126.74,2242086
24-Jul-14,24,7,14,103.82,416929
25-Nov-14,25,11,14,104.9,1092874
21-Feb-12,21,2,12,27.36,1518154
26-Sep-14,26,9,14,121.71,535599
26-Sep-12,26,9,12,30.47,1479836
26-Sep-13,26,9,13,103.34,1153285
25-Nov-13,25,11,13,117.87,944526
31-Mar-11,31,3,11,26.68,4492278
29-Jun-10,29,6,10,16.72,69761566
29-Mar-10,29,3,10,21.09,20598504
15-Oct-14,15,10,14,111.41,1005264
15-May-12,15,5,12,26.28,2175684
15-Oct-12,15,10,12,30.41,1497396
15-Oct-13,15,10,13,105.75,1501096
15-Oct-10,15,10,10,20.94,39619220
1-Jun-11,1,6,11,26.78,6204220
28-Dec-11,28,12,11,23.23,2911770
28-Dec-12,28,12,12,76.36,593758
14-Nov-13,14,11,13,125.53,908432
14-Nov-14,14,11,14,103.26,1059924
19-Dec-11,19,12,11,21.63,4442746
24-Jun-10,24,6,10,17.72,56241674
16-Mar-10,16,3,10,20.59,29191290
29-Mar-12,29,3,12,28.8,2575092
7-Feb-13,7,2,13,82.19,515071
10-May-13,10,5,13,83.75,1112336
7-Feb-11,7,2,11,26.31,3546538
10-May-11,10,5,11,27.79,2148432
22-Mar-12,22,3,12,28.54,3987520
22-Mar-13,22,3,13,74.22,987169
25-Oct-10,25,10,10,21.38,26521798
7-Feb-14,7,2,14,112.7,1099651
15-Sep-14,15,9,14,122.44,1230832
10-Sep-12,10,9,12,30.34,1106630
9-Apr-13,9,4,13,71.43,662417
2-Apr-13,2,4,13,73.75,358862
6-Jul-12,6,7,12,26.98,2291554
9-Apr-14,9,4,14,103.33,1209975
21-Sep-11,21,9,11,20.88,10195854
10-Sep-14,10,9,14,121.45,897865
27-Nov-09,27,11,9,18.18,40957062
28-Aug-14,28,8,14,117.64,797219
28-Aug-13,28,8,13,105.57,702665
28-Aug-12,28,8,12,29.3,1221854
22-Nov-13,22,11,13,117.96,1109562
27-Dec-12,27,12,12,76.13,691109
21-Apr-14,21,4,14,100.7,769477
25-Mar-14,25,3,14,107.75,900258
25-Mar-13,25,3,13,74.25,495629
25-Mar-11,25,3,11,26.16,3319708
21-Apr-11,21,4,11,27.07,0
30-Jun-10,30,6,10,16.3,46107406
8-Dec-09,8,12,9,18.39,43861670
11-Nov-10,11,11,10,22.17,25967958
11-Dec-12,11,12,12,72.22,260462
11-Dec-13,11,12,13,121.28,804724
29-Sep-10,29,9,10,19.79,28431988
27-Feb-12,27,2,12,27.38,2821198
27-Feb-13,27,2,13,63.42,659220
27-Feb-14,27,2,14,126.84,921515
16-Aug-10,16,8,10,17.54,27586606
24-Jan-14,24,1,14,122.23,1520857
24-Jan-11,24,1,11,25.12,17797094
3-Mar-10,3,3,10,19.34,27531820
24-Jan-13,24,1,13,85.68,837127
