Date,Day,Month,Year,Average,Volume
17-Sep-12,17,9,12,31.58,810370
7-Oct-10,7,10,10,20.34,24210924
13-Jul-10,13,7,10,18.13,38400988
2-Apr-12,2,4,12,29.38,1973282
25-Feb-14,25,2,14,51.15,13035038
28-Jul-14,28,7,14,58.9,5472724
2-Apr-14,2,4,14,53.58,5812392
25-Feb-13,25,2,13,33.7,29847972
28-Jul-11,28,7,11,25.84,4253412
29-Apr-13,29,4,13,37.57,10002056
19-Feb-10,19,2,10,18.83,38225368
19-Feb-13,19,2,13,34.59,11634428
7-Apr-14,7,4,14,51.58,13466580
7-Dec-09,7,12,9,18.78,36877110
19-Feb-14,19,2,14,50.48,14276416
24-Mar-11,24,3,11,25.83,3564588
17-Oct-11,17,10,11,21.64,6354486
8-Jul-10,8,7,10,17.28,42894358
8-Jul-11,8,7,11,27.26,4976078
1-Jul-14,1,7,14,58.5,18454910
8-Jul-14,8,7,14,58.38,7707580
1-Jul-11,1,7,11,27.2,0
1-Jul-10,1,7,10,15.98,73722326
26-Jan-12,26,1,12,25.76,3655906
26-Jan-11,26,1,11,25.45,22080264
26-Jan-10,26,1,10,18.41,42412186
12-Nov-12,12,11,12,28.2,1324456
12-Nov-13,12,11,13,46.71,11805016
12-Nov-10,12,11,10,21.88,42296192
2-Dec-09,2,12,9,18.93,35858760
12-Nov-14,12,11,14,62.68,5005874
22-Dec-11,22,12,11,22.97,3025582
5-Jan-11,5,1,11,24.5,19947998
23-Dec-09,23,12,9,19.28,18438380
7-Jun-11,7,6,11,25.24,3660986
9-Sep-10,9,9,10,18.58,20592042
2-Sep-11,2,9,11,20.69,10545158
2-Sep-10,2,9,10,17.86,25041230
2-Sep-14,2,9,14,60.59,15572654
17-Aug-11,17,8,11,21.44,5546068
30-Dec-11,30,12,11,23.2,0
30-Dec-10,30,12,10,24.01,10252886
30-Dec-13,30,12,13,50.8,6560298
23-Sep-10,23,9,10,19.21,31925654
25-Sep-13,25,9,13,42.98,15278444
25-Sep-12,25,9,12,31.12,1432696
19-Jun-13,19,6,13,40.1,20853668
19-Jun-12,19,6,12,27.12,1420362
19-Jun-14,19,6,14,57.77,6090052
31-Mar-14,31,3,14,52.57,5964126
25-Sep-14,25,9,14,59.29,16153690
13-May-14,13,5,14,54.2,6488198
13-May-13,13,5,13,39.62,6420092
13-May-11,13,5,11,27.36,3525830
13-May-10,13,5,10,20.73,43329504
8-Mar-13,8,3,13,35.68,15348178
8-Mar-12,8,3,12,27.41,2053610
8-Mar-11,8,3,11,26.34,3300552
23-Oct-14,23,10,14,57.47,10042122
23-Oct-13,23,10,13,45.54,12183422
23-Oct-12,23,10,12,29.54,3902776
19-Mar-14,19,3,14,52.22,13774760
24-Nov-10,24,11,10,21.74,0
7-Apr-11,7,4,11,26.94,4544572
19-Mar-12,19,3,12,29.21,2257568
19-Mar-13,19,3,13,35.73,21557208
25-Oct-11,25,10,11,22.64,6524436
12-Mar-13,12,3,13,35.87,11269966
24-Dec-12,24,12,12,30.2,4123792
24-Dec-13,24,12,13,50.23,4332134
13-Mar-12,13,3,12,28.36,3409882
13-Mar-13,13,3,13,35.87,10543096
6-Dec-11,6,12,11,23.27,3145796
5-Apr-12,5,4,12,28.72,2245040
13-Mar-14,13,3,14,51.95,14362912
30-Aug-11,30,8,11,21.77,10393070
26-Oct-10,26,10,10,21.14,29102382
21-Sep-10,21,9,10,19.71,51395694
7-Apr-10,7,4,10,21.55,29326044
20-Jun-14,20,6,14,58.08,5311572
22-Aug-11,22,8,11,19.27,10719774
22-Aug-13,22,8,13,40.76,7941738
22-Aug-12,22,8,12,29.41,1335818
11-Jul-13,11,7,13,41.67,9696196
8-Jul-13,8,7,13,40.08,10085170
11-Jul-11,11,7,11,26.59,4384982
4-Mar-14,4,3,14,52.45,50082070
4-Mar-13,4,3,13,34.3,12744020
4-Mar-11,4,3,11,26.61,5408918
11-Jul-14,11,7,14,58.23,3853140
25-Jun-14,25,6,14,57.45,5953618
22-Feb-13,22,2,13,33.94,14597558
25-Jun-13,25,6,13,37.49,14966548
22-Feb-11,22,2,11,26.58,5582536
22-Feb-10,22,2,10,18.95,27210208
2-Jul-12,2,7,12,27.33,2952574
2-Jul-13,2,7,13,38.78,13178582
26-Aug-13,26,8,13,41.24,9226782
26-Aug-14,26,8,14,60.51,4570322
2-Jul-14,2,7,14,58.73,4087428
17-Feb-12,17,2,12,27.27,2286986
9-Sep-14,9,9,14,60.09,9713082
26-Aug-10,26,8,10,16.83,43741866
17-Feb-10,17,2,10,18.57,32797626
23-Jun-11,23,6,11,24.7,7512222
26-Oct-12,26,10,12,29.4,2042932
7-Nov-11,7,11,11,23.15,4652978
12-Jan-11,12,1,11,24.99,19063616
12-Jan-12,12,1,12,24.57,3585762
25-Aug-11,25,8,11,20.52,11664774
18-Jun-14,18,6,14,57.26,6519002
15-Apr-10,15,4,10,22.52,20813220
12-Jun-13,12,6,13,39.37,17835796
15-Feb-11,15,2,11,26.77,2326094
1-Mar-11,1,3,11,26.45,6003370
15-Feb-13,15,2,13,34.31,15357300
1-Mar-13,1,3,13,33.95,50873740
19-Aug-13,19,8,13,40.69,9441366
9-Jan-14,9,1,14,50.69,11781410
19-Aug-11,19,8,11,19.13,8196478
16-Jan-13,16,1,13,32.02,7838192
16-Jan-14,16,1,14,50.97,7418086
9-Jan-13,9,1,13,31.61,10642952
19-Aug-14,19,8,14,59.1,4401870
16-Dec-10,16,12,10,23.27,21032038
17-Nov-14,17,11,14,62.9,5018500
17-Nov-11,17,11,11,22.1,9715450
17-Nov-10,17,11,10,21.05,33095032
10-Dec-10,10,12,10,23.2,17311424
20-Jan-10,20,1,10,19.92,46893066
22-Jul-14,22,7,14,59.27,3978612
18-May-12,18,5,12,24.99,2341122
22-Jul-11,22,7,11,27.37,3622772
22-Jul-10,22,7,10,17.95,41858950
22-Jul-13,22,7,13,42.79,6801394
11-Oct-10,11,10,10,20.55,15740564
10-Jan-12,10,1,12,24.56,2831270
20-Jan-12,20,1,12,25.33,2331338
24-Feb-10,24,2,10,18.66,31912534
30-Apr-10,30,4,10,21.99,43761350
21-Mar-12,21,3,12,29.02,1905746
1-Nov-13,1,11,13,46.27,44908942
1-Nov-12,1,11,12,29.82,2373470
1-Nov-11,1,11,11,21.97,12377806
1-Nov-10,1,11,10,21.29,32067010
