Date,Day,Month,Year,Average,Volume
15-Oct-14,15,10,14,97.46,100933600
15-May-12,15,5,12,79.63,119076678
15-Oct-12,15,10,12,90.22,108124961
15-Oct-13,15,10,13,71.2,80018603
15-Oct-10,15,10,10,44.36,230548444
1-Jun-11,1,6,11,49.69,138670602
28-Dec-11,28,12,11,57.83,57214227
28-Dec-12,28,12,12,72.95,88569243
14-Nov-13,14,11,13,75.08,70605087
14-Nov-14,14,11,14,113.64,44063595
19-Dec-11,19,12,11,54.64,58881914
24-Jun-10,24,6,10,38.62,178782814
16-Mar-10,16,3,10,32.01,111726636
29-Mar-12,29,3,12,87.37,152059432
7-Feb-13,7,2,13,66.27,176145074
10-May-13,10,5,13,65.04,83712482
7-Feb-11,7,2,11,50.02,121254910
10-May-11,10,5,11,49.81,70521969
22-Mar-12,22,3,12,85.62,156032898
22-Mar-13,22,3,13,65.42,98776111
25-Oct-10,25,10,10,44.21,98107996
7-Feb-14,7,2,14,74.33,93638601
15-Sep-14,15,9,14,102.23,61316516
10-Sep-12,10,9,12,96.02,121998898
9-Apr-13,9,4,13,60.88,76688115
2-Apr-13,2,4,13,61.5,132443234
6-Jul-12,6,7,12,86.53,104757156
9-Apr-14,9,4,14,75.19,51542722
21-Sep-11,21,9,11,59.48,151493755
10-Sep-14,10,9,14,99.47,100869587
27-Nov-09,27,11,9,28.61,73814244
28-Aug-14,28,8,14,102.18,68459801
28-Aug-13,28,8,13,69.95,76901678
28-Aug-12,28,8,12,96.31,66844323
22-Nov-13,22,11,13,74.29,55931232
27-Dec-12,27,12,12,73.19,113779680
21-Apr-14,21,4,14,75.45,45668931
25-Mar-14,25,3,14,77.56,70573356
25-Mar-13,25,3,13,66.43,125283438
25-Mar-11,25,3,11,49.95,112292796
21-Apr-11,21,4,11,50.33,188449618
30-Jun-10,30,6,10,36.29,184867060
8-Dec-09,8,12,9,27.15,172599280
11-Nov-10,11,11,10,45.16,90320433
11-Dec-12,11,12,12,77.43,148085903
11-Dec-13,11,12,13,80.68,89929693
29-Sep-10,29,9,10,41.08,117410608
27-Feb-12,27,2,12,74.71,136895304
27-Feb-13,27,2,13,63.79,146836928
27-Feb-14,27,2,14,74.63,75557321
16-Aug-10,16,8,10,35.42,79606849
